date,state,predicted_sales
2023-06-25,Oregon,126523100.0
2023-07-02,Oregon,126546700.0
2023-05-14,Pennsylvania,367847940.0
2023-05-21,Pennsylvania,371747070.0
2023-05-28,Pennsylvania,373476260.0
2023-06-04,Pennsylvania,375028220.0
2023-06-11,Pennsylvania,374601100.0
2023-06-18,Pennsylvania,377664060.0
2023-06-25,Pennsylvania,380332930.0
2023-07-02,Pennsylvania,380269380.0
2023-05-14,Rhode Island,28356594.0
2023-05-21,Rhode Island,28411922.0
2023-05-28,Rhode Island,28357278.0
2023-06-04,Rhode Island,28237224.0
2023-06-11,Rhode Island,28258818.0
2023-06-18,Rhode Island,28400644.0
2023-06-25,Rhode Island,28295978.0
2023-07-02,Rhode Island,28485228.0
2023-05-14,South Carolina,209409920.0
2023-05-21,South Carolina,211462690.0
2023-05-28,South Carolina,211615730.0
2023-06-04,South Carolina,211770140.0
2023-06-11,South Carolina,210821890.0
2023-06-18,South Carolina,213111890.0
2023-06-25,South Carolina,214099150.0
2023-07-02,South Carolina,216043970.0
2023-05-14,South Dakota,30032776.0
2023-05-21,South Dakota,30095366.0
2023-05-28,South Dakota,30070612.0
2023-06-04,South Dakota,30064154.0
2023-06-11,South Dakota,29920254.0
2023-06-18,South Dakota,30053250.0
2023-06-25,South Dakota,30016122.0
2023-07-02,South Dakota,30238888.0
2023-05-14,Tennessee,272787070.0
2023-05-21,Tennessee,273889120.0
2023-05-28,Tennessee,273960060.0
2023-06-04,Tennessee,273698180.0
2023-06-11,Tennessee,273580960.0
2023-06-18,Tennessee,274916400.0
2023-06-25,Tennessee,275223040.0
2023-07-02,Tennessee,275130140.0
2023-05-14,Texas,947586100.0
2023-05-21,Texas,945481500.0
2023-05-28,Texas,948962200.0
2023-06-04,Texas,951283140.0
2023-06-11,Texas,964769900.0
2023-06-18,Texas,956308100.0
2023-06-25,Texas,966256500.0
2023-07-02,Texas,965887400.0
2023-05-14,Utah,92038380.0
2023-05-21,Utah,93921940.0
2023-05-28,Utah,95462264.0
2023-06-04,Utah,97348060.0
2023-06-11,Utah,98031650.0
2023-06-18,Utah,98987600.0
2023-06-25,Utah,98826960.0
2023-07-02,Utah,99116380.0
2023-05-14,Vermont,19410584.0
2023-05-21,Vermont,19769742.0
2023-05-28,Vermont,19718442.0
2023-06-04,Vermont,19710658.0
2023-06-11,Vermont,19725568.0
2023-06-18,Vermont,20078020.0
2023-06-25,Vermont,20163870.0
2023-07-02,Vermont,20251380.0
2023-05-14,Virginia,304503520.0
2023-05-21,Virginia,303745400.0
2023-05-28,Virginia,304175420.0
2023-06-04,Virginia,304962620.0
2023-06-11,Virginia,309994140.0
2023-06-18,Virginia,314929250.0
2023-06-25,Virginia,315667900.0
2023-07-02,Virginia,318121730.0
2023-05-14,Washington,203139800.0
2023-05-21,Washington,202910190.0
2023-05-28,Washington,204691090.0
2023-06-04,Washington,204756800.0
